597763.333 4057415.873 -79.1381
597568.667 4057315.775 -79.0256
597666.000 4057315.775 -78.6756
597763.333 4057315.775 -78.6513
597568.667 4057215.676 -78.3313
597666.000 4057215.676 -78.1338
597763.333 4057215.676 -78.0144
597568.667 4057115.578 -77.73
597666.000 4057115.578 -77.6312
597763.333 4057115.578 -77.2725
597568.667 4057015.480 -76.9831
597666.000 4057015.480 -76.9569
597763.333 4057015.480 -76.6453
597568.667 4056915.382 -76.1525
597666.000 4056915.382 -76.3825
597763.333 4056915.382 -76.3494
597568.667 4056815.284 -75.1281
597666.000 4056815.284 -75.4925
597763.333 4056815.284 -75.7506
597568.667 4056715.186 -73.9512
597666.000 4056715.186 -74.6862
597763.333 4056715.186 -74.9993
597568.667 4056615.088 -72.7094
597666.000 4056615.088 -73.7625
597763.333 4056615.088 -74.3094
597568.667 4056514.990 -71.6475
597666.000 4056514.990 -72.6969
597763.333 4056514.990 -73.5587
597568.667 4056414.892 -70.4631
597666.000 4056414.892 -71.8319
597763.333 4056414.892 -72.775
597568.667 4056314.794 -69.1532
597666.000 4056314.794 -70.9563
597763.333 4056314.794 -71.8007
597568.667 4056214.696 -68.0175
597666.000 4056214.696 -69.9081
597763.333 4056214.696 -70.8712
597568.667 4056114.598 -66.9112
597666.000 4056114.598 -68.6781
597763.333 4056114.598 -69.972
597568.667 4056014.500 -65.7067
597666.000 4056014.500 -67.4274
597763.333 4056014.500 -69.4404
597568.667 4055914.402 -64.4028
597666.000 4055914.402 -66.7049
597763.333 4055914.402 -67.3958
597568.667 4055814.304 -63.1936
597666.000 4055814.304 -65.5365
597763.333 4055814.304 -67.1452
597568.667 4055714.206 -62.7273
597666.000 4055714.206 -64.5974
597763.333 4055714.206 -66.5596
597568.667 4055614.108 -61.7703
597666.000 4055614.108 -63.8296
597763.333 4055614.108 -65.3493
597568.667 4055514.010 -60.3877
597666.000 4055514.010 -62.9267
597763.333 4055514.010 -64.4124
597568.667 4055413.912 -59.3859
597666.000 4055413.912 -61.9406
597763.333 4055413.912 -63.898
597568.667 4055313.814 -58.2026
597666.000 4055313.814 -60.7063
597763.333 4055313.814 -63.1194
597568.667 4055213.716 -56.8552
597666.000 4055213.716 -60.0033
597763.333 4055213.716 -61.7257
597568.667 4055113.618 -54.7094
597666.000 4055113.618 -58.3478
597763.333 4055113.618 -60.8752
597568.667 4055013.520 -51.7084
597666.000 4055013.520 -56.5177
597763.333 4055013.520 -59.4764
597568.667 4054913.422 -46.5164
597666.000 4054913.422 -53.8452
597763.333 4054913.422 -57.3352
597568.667 4054813.324 -39.5771
597666.000 4054813.324 -50.0979
597763.333 4054813.324 -54.4683
597568.667 4054713.225 -34.0948
597666.000 4054713.225 -43.0025
597763.333 4054713.225 -50.711
597568.667 4054613.127 -30.1766
597666.000 4054613.127 -35.2068
597763.333 4054613.127 -45.7161
597568.667 4054513.029 -27.0527
597666.000 4054513.029 -28.3558
597763.333 4054513.029 -38.1939
597568.667 4054412.931 -25.0589
597666.000 4054412.931 -25.23
597763.333 4054412.931 -27.4255
597568.667 4054312.833 -23.314
597666.000 4054312.833 -22.9745
597763.333 4054312.833 -23.3471
597568.667 4054212.735 -20.7816
597666.000 4054212.735 -21.1223
597763.333 4054212.735 -21.0821
597568.667 4054112.637 -19.0636
597666.000 4054112.637 -19.3073
597763.333 4054112.637 -19.6405
597568.667 4054012.539 -17.8496
597666.000 4054012.539 -17.7288
597763.333 4054012.539 -17.9768
597568.667 4053912.441 -15.6655
597666.000 4053912.441 -16.2643
597763.333 4053912.441 -16.3002
597568.667 4053812.343 -13.7083
597666.000 4053812.343 -14.5267
597763.333 4053812.343 -14.7219
597568.667 4053712.245 -12.2658
597666.000 4053712.245 -13.2193
597763.333 4053712.245 -13.7613
597568.667 4053612.147 -10.069
597666.000 4053612.147 -10.7173
597763.333 4053612.147 -10.9369
597568.667 4053512.049 -6.32744
597666.000 4053512.049 -6.17298
597763.333 4053512.049 -5.65659
